time (ms), statusbyte, databyte1, datbaty2
 307150, 144, 63, 0
 307500, 144, 64, 49
 307500, 144, 61, 49
 307875, 144, 62, 49
 307875, 144, 64, 0
 307875, 144, 61, 0
 308125, 144, 66, 29
 308125, 144, 58, 34
 308250, 144, 62, 0
 308500, 144, 58, 0
 308500, 144, 66, 0
 309000, 144, 60, 49
 309375, 144, 63, 49
 309375, 144, 60, 0
 309750, 144, 63, 0
 310875, 144, 60, 49
 311250, 144, 60, 0
 311275, 144, 71, 29
 311650, 144, 71, 0
 311975, 144, 62, 29
 312000, 144, 59, 34
 312350, 144, 62, 0
 312375, 144, 59, 0
 312425, 144, 60, 0
 313125, 144, 57, 100
 313500, 144, 57, 0
 313875, 144, 60, 49
 313875, 144, 67, 49
 313875, 144, 64, 49
 313875, 144, 73, 49
 314250, 144, 73, 0
 314250, 144, 60, 0
 314250, 144, 67, 0
 315375, 144, 71, 29
 315750, 144, 71, 0
 316125, 144, 65, 29
 316125, 144, 55, 34
 316125, 144, 57, 34
 316500, 144, 55, 0
 316500, 144, 65, 0
 316500, 144, 57, 0
 316875, 144, 64, 0
 317250, 144, 62, 100
 317250, 144, 66, 29
 317250, 144, 58, 34
 317250, 144, 54, 34
 317625, 144, 67, 29
 317625, 144, 54, 0
 317625, 144, 66, 0
 317625, 144, 58, 0
 318000, 144, 54, 34
 318000, 144, 67, 0
 318375, 144, 54, 0
 319500, 144, 58, 34
 319500, 144, 62, 0
 319500, 144, 59, 34
 319875, 144, 59, 0
 319875, 144, 58, 0
 321000, 144, 42, 100
 321000, 144, 50, 100
 321000, 144, 43, 100
 321375, 144, 67, 49
 321750, 144, 67, 0
 325125, 144, 61, 49
 325125, 144, 69, 49
 325500, 144, 69, 0
 325500, 144, 61, 0
 325875, 144, 60, 49
 326625, 144, 60, 0
 328450, 144, 62, 49
 328975, 144, 62, 0
 329250, 144, 60, 49
 329250, 144, 63, 49
 329250, 144, 69, 49
 329250, 144, 64, 49
 329250, 144, 68, 49
 329625, 144, 63, 49
 329625, 144, 61, 49
 329625, 144, 60, 49
 329625, 144, 68, 0
 329625, 144, 60, 0
 329625, 144, 63, 0
 329625, 144, 69, 0
 329625, 144, 64, 0
 330000, 144, 58, 34
 330000, 144, 62, 29
 330000, 144, 60, 0
 330000, 144, 63, 0
 330000, 144, 61, 0
 330375, 144, 47, 100
 330375, 144, 62, 0
 330375, 144, 58, 0
 330750, 144, 47, 0
 333000, 144, 42, 0
 333000, 144, 43, 0
 333000, 144, 50, 0
 333325, 144, 55, 100
 333325, 144, 56, 100
 333325, 144, 65, 100
 333325, 144, 64, 100
 333325, 144, 52, 100
 333750, 144, 68, 29
 333750, 144, 64, 49
 333750, 144, 58, 34
 333750, 144, 60, 49
 334125, 144, 58, 0
 334125, 144, 60, 0
 334125, 144, 68, 0
 334125, 144, 64, 0
 334325, 144, 68, 49
 334350, 144, 60, 49
 334500, 144, 59, 34
 334500, 144, 49, 34
 334700, 144, 68, 0
 335250, 144, 49, 0
 335250, 144, 59, 0
 336225, 144, 60, 0
 336375, 144, 61, 49
 336750, 144, 61, 0
 337075, 144, 64, 29
 337075, 144, 52, 34
 337075, 144, 57, 34
 337075, 144, 58, 34
 337600, 144, 57, 0
 337600, 144, 58, 0
 337600, 144, 64, 0
 337600, 144, 52, 0
 337825, 144, 64, 0
 337825, 144, 65, 0
 337825, 144, 56, 0
 337825, 144, 52, 0
 337825, 144, 55, 0
 338250, 144, 57, 34
 338250, 144, 53, 34
 338625, 144, 53, 0
 338625, 144, 57, 0
 339750, 144, 62, 29
 340125, 144, 62, 0
 342375, 144, 62, 49
 342375, 144, 66, 49
 342375, 144, 54, 34
 342375, 144, 56, 34
 342750, 144, 66, 0
 342750, 144, 56, 0
 342750, 144, 62, 0
 342750, 144, 54, 0
 342950, 144, 64, 29
 342950, 144, 59, 34
 343325, 144, 64, 0
 343875, 144, 51, 34
 343875, 144, 55, 34
